股票名称,提及次数,涉及文件数,代号/别称
比亚迪,622,110,企业甲/迪子
华为,162,32,yyds
宁德时代,145,37,宁德
特斯拉,120,46,-
剑桥科技,108,32,大学/剑桥
金风科技,107,29,金风
苹果,88,27,-
天齐锂业,84,44,天齐/锂矿/理矿/礼矿
谷歌,63,17,-
中远海特,58,21,海特/酱油
航天动力,58,20,航天/六子
百度,51,11,-
微软,36,10,-
中芯国际,35,7,中芯
上大股份,29,21,上大
航发动力,29,6,航发
中国重工,26,12,重工
微芯生物,24,10,微芯/微心/侠谱
华钰矿业,19,11,华子/逆子/锑矿
明月镜片,19,10,眼镜/五子
京东,19,9,-
海目星,18,6,固态
美团,18,9,-
万科,18,10,-
呷哺呷哺,17,10,火锅
西藏矿业,16,4,老情人/藏矿
周黑鸭,14,6,鸭脖/鸭仔
阳光电源,14,11,阳光
英伟达,14,4,-
中国中免,14,6,-
中国平安,11,6,-
曙光数创,9,4,曙光/冷子/液冷
网易,9,6,-
长安汽车,8,2,-
川能动力,7,1,川能
钢研高纳,6,2,高温合金
海底捞,6,3,-
中国神华,6,4,-
东方财富,6,4,-
中国石油,5,2,-
智光电气,4,1,储能
